linea,estacion,afluencia_media,afluencia_std,proporcion_prepago,proporcion_gratuidad,proporcion_boleto,nivel_saturacion_medio
1,BALBUENA,6826.178789938817,1972.007982138473,0.665243931233442,0.16081019357919643,0.17394587518736154,1.2997960571040108
1,BALDERAS,14966.389778007228,10277.999962326197,0.5950495290558997,0.23867991883027004,0.16627055211383027,1.299948373773877
1,BOULEVARD PUERTO AEREO,14628.16927260367,4195.615650611227,0.7100510695976552,0.18798888290064092,0.1019600475017039,1.2997960571040108
1,CANDELARIA,16534.923181509177,4607.607513985801,0.6327092210774197,0.20238668530692575,0.16490409361565456,1.2991162474507139
1,CHAPULTEPEC,22932.2183789365,16400.023590309876,0.6806188827926686,0.10405889950239909,0.21532221770493232,1.272070211667527
1,CUAUHTEMOC,8006.099122354156,6030.157303404789,0.6056618904120746,0.18155817032805774,0.21277993925986766,1.272070211667527
1,GOMEZ FARIAS,19097.244731475188,5262.724657857327,0.6931113976067202,0.15813161533442813,0.1487569870588516,1.2991162474507139
1,INSURGENTES,20315.708311822407,16360.096647615375,0.7229424186815094,0.1493788235140611,0.12767875780442944,1.2385131646876613
1,ISABEL LA CATOLICA,10843.66275862069,7030.782461782338,0.6808082546823488,0.15134145672484323,0.16785028859280787,1.3
1,JUANACATLAN,3543.776458440888,3282.7019614125907,0.6134516076199648,0.15817152833202114,0.2283768640480141,1.1652039235931853
1,MERCED,31124.340584636302,8558.864081696662,0.6240512145612851,0.20929106285588242,0.16665772258283248,1.2997960571040108
1,MOCTEZUMA,14509.48266485384,4227.519623958928,0.6835253877518828,0.1820135511617831,0.1344610610863341,1.2997960571040108
1,OBSERVATORIO,22046.960247805884,18748.684944543736,0.5589351653467094,0.0914310914564391,0.34963374319685153,1.1652039235931853
1,PANTITLAN,27779.65193745751,8116.810392354659,0.7385448899677118,0.12577292846168467,0.1356821815706035,1.2997960571040108
1,PINO SUAREZ,24033.498300475865,7896.898744148699,0.7106254059166153,0.17001949836082098,0.11935509572256381,1.2997960571040108
1,SALTO DEL AGUA,9376.724137931034,6126.490422721068,0.6071556198357496,0.23183822507009033,0.16100615509416003,1.3
1,SAN LAZARO,16260.743711760708,5392.392807659198,0.7287540883469286,0.14851701974348563,0.12272889190958582,1.2997960571040108
1,SEVILLA,12377.143004646361,9215.821960449795,0.7396846262734361,0.09281223420990753,0.16750313951665646,1.272070211667527
1,TACUBAYA,11910.675787299948,10087.87161123852,0.6075348992371057,0.13564742559247253,0.2568176751704218,1.167785234899329
1,ZARAGOZA,23444.926580557443,7111.8829091157895,0.7103574084968908,0.15324866884883806,0.13639392265427108,1.2997960571040108
12,ATLALILCO,12950.954716981132,6457.942816361734,0.8519650426458234,0.14803495735417668,0.0,1.2996226415094339
12,CALLE 11,10363.358705161854,3359.8273604805495,0.8551216457056677,0.14487835429433227,0.0,1.2992125984251968
12,CULHUACAN,12957.137357830272,3872.5755397718026,0.8529925275799192,0.14700747242008078,0.0,1.300087489063867
12,EJE CENTRAL,9239.507924528301,3459.56988546583,0.8595685713067458,0.14043142869325426,0.0,1.2996226415094339
12,ERMITA,7313.272452830189,2729.3116108401496,0.8566170192263837,0.14338298077361628,0.0,1.2996226415094339
12,HOSPITAL 20 DE NOVIEMBRE,8615.716981132075,3573.5265557236557,0.8693559126089083,0.13064408739109165,0.0,1.2996226415094339
12,INSURGENTES SUR,26435.295849056605,10687.564327540102,0.8872218541160597,0.11277814588394028,0.0,1.2996226415094339
12,LOMAS ESTRELLA,7404.776902887139,2177.768232147573,0.8594381553178684,0.1405618446821317,0.0,1.300087489063867
12,MEXICALTZINGO,13015.938113207547,5150.264550953442,0.8639050075560245,0.13609499244397552,0.0,1.2996226415094339
12,MIXCOAC,11754.390943396227,5041.927103602828,0.8823353257229419,0.11766467427705804,0.0,1.298867924528302
12,NOPALERA,19298.862105263157,5371.465140977202,0.8729674673479293,0.1270325326520707,0.0,1.3
12,OLIVOS,13118.643533123028,3896.3233646953995,0.8570535330648196,0.1429464669351804,0.0,1.2996845425867507
12,PARQUE DE LOS VENADOS,8134.901132075472,3034.880117040849,0.852499992133002,0.1475000078669981,0.0,1.2996226415094339
12,PERIFERICO ORIENTE,30958.582677165356,10214.411841420162,0.8642555736560873,0.13574442634391273,0.0,1.300087489063867
12,SAN ANDRES TOMATLAN,8404.701662292213,3026.100460304544,0.8656354157917121,0.13436458420828795,0.0,1.300087489063867
12,TEZONCO,18545.8499475341,5351.614316599908,0.865369223177742,0.13463077682225802,0.0,1.2990556138509968
12,TLAHUAC,46519.947862356625,17382.053270578974,0.8591512106591455,0.14084878934085449,0.0,1.3003128258602712
12,TLALTENCO,4079.1835443037976,1095.6777981907069,0.8480282512140167,0.15197174878598338,0.0,1.3006329113924051
